,Portfolio returns
1944-01,-0.011435848418208567
1944-02,-0.012384607096549366
1944-03,0.021271159798485074
1944-04,-0.007428950993908378
1944-05,0.043377764407632365
1944-06,0.04858166715484109
1944-07,-0.01766434666800565
1944-08,0.01829473630719225
1944-09,-0.0028670402926831828
1944-10,0.02392316998933173
1944-11,0.012498654206287398
1944-12,0.040481484198788935
1945-01,0.02128648304131214
1945-02,0.06546816776618353
1945-03,-0.03838559011606983
1945-04,0.07737002669950671
1945-05,0.02148453635211486
1945-06,-0.022119255551911042
1945-07,-0.02836969379249104
1945-08,0.06502918909707607
1945-09,0.03870283356720799
1945-10,0.029519647172748038
1945-11,0.05379836402952595
1945-12,0.012757863003103402
1946-01,0.05004553993352424
1946-02,-0.056801959863022736
1946-03,0.07428330975360664
1946-04,0.0611831862861868
1946-05,0.051171716496655924
1946-06,-0.04747101281054522
1946-07,-0.018472024741385245
1946-08,-0.054268304410526096
1946-09,-0.1081994838300523
1946-10,-0.012840564651578013
1946-11,-0.017774901675609724
1946-12,0.05125950007300509
1947-01,0.028940975576707932
1947-02,-0.032748943281704905
1947-03,-0.002698992011379954
1947-04,-0.03745262051838117
1947-05,0.0046173236860090556
1947-06,0.05493386494622424
1947-07,0.050686180211010824
1947-08,-0.035527372914911017
1947-09,-0.014324215162936324
1947-10,0.02772074331935336
1947-11,-0.013652923150514985
1947-12,0.0568484655679677
1948-01,-0.0723856521851623
1948-02,-0.032868046043353846
1948-03,0.08523739717970527
1948-04,0.024153783302350004
1948-05,0.09940516940970817
1948-06,-0.003071688011217848
1948-07,-0.04554364461711019
1948-08,-0.004713767825863425
1948-09,-0.02758780826462717
1948-10,0.07111660756494055
1948-11,-0.1031983895238309
1948-12,0.05417597108963325
1949-01,-0.005385122614332637
1949-02,-0.038283098907929435
1949-03,0.06046356850465493
1949-04,-0.012651217973658686
1949-05,-0.04797562334987395
1949-06,0.00566162597460885
1949-07,0.06032729045171861
1949-08,0.020480675778218584
1949-09,0.02356521490192788
1949-10,0.035002250765084654
1949-11,0.02885823575274708
1949-12,0.07173861371489033
1950-01,0.008891222735685239
1950-02,0.0076225729195570115
1950-03,0.02025411387737298
1950-04,0.04439657073452831
1950-05,0.04004857513361056
1950-06,-0.04809367292490863
1950-07,0.007767805693838592
1950-08,0.06639348735526565
1950-09,0.057698311377430374
1950-10,-0.001370733929249508
1950-11,0.029205882700624852
1950-12,0.05638110766267937
1951-01,0.06373313371112928
1951-02,0.0038156551127248636
1951-03,-0.009620168835209638
1951-04,0.0731189814977576
1951-05,-0.018874321922856135
1951-06,-0.003225939311571087
1951-07,0.09161605977821842
1951-08,0.04837402173667161
1951-09,0.011657596981327265
1951-10,-0.049004001152010986
1951-11,-0.0008263448861603384
1951-12,0.05291195218645562
1952-01,0.010589012213114715
1952-02,-0.0289256325384714
1952-03,0.0640258118201855
1952-04,-0.0455497728502799
1952-05,0.02325251878897128
1952-06,0.04804841673141036
1952-07,0.000793581316266668
1952-08,-0.01319475382989874
1952-09,-0.017609172515180866
1952-10,-0.0166661555268927
1952-11,0.063631476653714
1952-12,0.016780393079419167
1953-01,-0.027533616495639637
1953-02,0.0003839834184650153
1953-03,0.006269598425042062
1953-04,-0.02888116244333959
1953-05,0.0154478327490978
1953-06,-0.023044379188442248
1953-07,0.031454658801475674
1953-08,-0.048583796831232186
1953-09,0.018966657397703767
1953-10,0.05175313584530513
1953-11,0.04641082361828376
1953-12,0.009624375463393536
1954-01,0.08072274883502456
1954-02,0.04138593459942706
1954-03,0.05343814063500528
1954-04,0.06254082225522903
1954-05,0.009389688317794069
1954-06,0.00866733483847194
1954-07,0.03376189063371824
1954-08,-0.025863094283758218
1954-09,0.06648833580330761
1954-10,-0.02531387798769205
1954-11,0.09770071780232936
1954-12,0.047832324378235196
1955-01,0.02061754231336264
1955-02,0.04720008597137712
1955-03,-0.005499296643790695
1955-04,0.02401330544147378
1955-05,0.007246502636940353
1955-06,0.04964454781359758
1955-07,-0.0015949551373711382
1955-08,-0.004660008085822549
1955-09,-0.017915145561883967
1955-10,-0.03186961292724634
1955-11,0.09751022479193741
1955-12,0.05387515749404861
1956-01,-0.03506268066304721
1956-02,0.04863728290381826
1956-03,0.1110479589338824
1956-04,0.004857347604107547
1956-05,-0.05044095000133424
1956-06,0.04179155432656226
1956-07,0.053555870008356134
1956-08,-0.04275066107881315
1956-09,-0.05765486572609393
1956-10,0.015211827256634124
1956-11,0.03024315514438511
1956-12,0.050369495525312065
1957-01,-0.04112601901738079
1957-02,-0.004641786356297699
1957-03,0.0337930552808353
1957-04,0.08886501010099015
1957-05,0.06551662870286033
1957-06,0.021227407222269744
1957-07,0.024112291225262553
1957-08,-0.058432755044244944
1957-09,-0.06076908959630055
1957-10,-0.02411113139941998
1957-11,0.05267317905832989
1957-12,-0.04233541337997042
1958-01,0.0269489690797519
1958-02,-0.019447777230066427
1958-03,0.04945705614180092
1958-04,0.0350993599791362
1958-05,-0.0013001197484450583
1958-06,0.05095121177474952
1958-07,0.03843399883332689
1958-08,0.024207850563791888
1958-09,0.07217549798284387
1958-10,0.029112769960156368
1958-11,0.039673393059384186
1958-12,0.07426069664286426
1959-01,-0.016920391406831922
1959-02,0.014888136744231218
1959-03,0.026292336388007174
1959-04,0.07474475302834266
1959-05,0.020033093241188557
1959-06,-0.009157541175180944
1959-07,0.02128203166287689
1959-08,-0.0293457362260053
1959-09,-0.05317285944460039
1959-10,0.03076910823858199
1959-11,0.06018992817299146
1959-12,0.016270496859192962
1960-01,-0.08398846789866751
1960-02,0.019321410622686566
1960-03,0.015422222946322804
1960-04,-0.005459724774765525
1960-05,0.060726081428949204
1960-06,0.027096872562331814
1960-07,-0.022179941727948047
1960-08,0.025785328162228893
1960-09,-0.05743242514935961
1960-10,-0.021381789685385164
1960-11,0.05605443404582786
1960-12,0.03740527745502035
1961-01,0.058136544592356024
1961-02,0.02776425866870582
1961-03,0.0022189810664580527
1961-04,0.019260611569097644
1961-05,0.021200246880917154
1961-06,-0.03597701275739356
1961-07,0.02443077656434694
1961-08,0.02353892263260536
1961-09,-0.018625425464514168
1961-10,0.03276376912488164
1961-11,0.05417227041913489
1961-12,0.010124192833341782
1962-01,-0.026035145526758112
1962-02,0.033851886936136534
1962-03,-0.0031013093031599707
1962-04,-0.09489164435026491
1962-05,-0.09569769753371982
1962-06,-0.08968354960312465
1962-07,0.09086860342591971
1962-08,0.01282765649085675
1962-09,-0.05249934235391445
1962-10,0.006974658708163349
1962-11,0.14465618139524122
1962-12,0.0174734798234107
1963-01,0.04062732400524666
1963-02,-0.023219941678320446
1963-03,0.03528929580116775
1963-04,0.06476539780152626
1963-05,0.03141242501991029
1963-06,-0.028193012879736475
1963-07,-0.0014343752280096102
1963-08,0.052072452999911714
1963-09,-0.018772691864118313
1963-10,0.05446668137419816
1963-11,-0.007955606981339755
1963-12,0.028265267379094294
1964-01,0.041316425789267995
1964-02,0.020471061848593958
1964-03,0.005594725515367393
1964-04,-0.0041966288197088095
1964-05,0.024916288627557688
1964-06,-0.00018293690607357627
1964-07,0.023231422891008872
1964-08,-0.03460615750031034
1964-09,0.014614156411288649
1964-10,0.002816056359275774
1964-11,0.012092475112277701
1964-12,0.0009166741346132538
1965-01,0.05938818231161936
1965-02,0.0021572574264032297
1965-03,-0.016375152298016938
1965-04,0.03605345707757442
1965-05,0.009996065460332309
1965-06,-0.055032116612356824
1965-07,0.035170229996704605
1965-08,0.050192482692618806
1965-09,0.04960961899087945
1965-10,0.046394037470002
1965-11,0.02846029697318435
1965-12,-0.0058128548185174805
1966-01,0.008844595677104383
1966-02,0.010429662705447922
1966-03,-0.022490103581806066
1966-04,0.04970513206577875
1966-05,-0.049128848788604566
1966-06,-0.007939073159861153
1966-07,-0.01446608128651908
1966-08,-0.06202139999864837
1966-09,0.006060561298429275
1966-10,0.042120847043809896
1966-11,0.0740330804616347
1966-12,0.002593893567732123
1967-01,0.07363239624221872
1967-02,0.03326699929741505
1967-03,0.05346748704963266
1967-04,0.0691686057714003
1967-05,-0.05027446207292699
1967-06,0.03898208797849013
1967-07,0.04535558613273181
1967-08,-0.006861200949827347
1967-09,0.06542564842721428
1967-10,0.014046105864337109
1967-11,0.021769564318426374
1967-12,0.013519240662360864
1968-01,-0.037796190394008014
1968-02,-0.027596897210085354
1968-03,0.03173431949469844
1968-04,0.10637386469880356
1968-05,0.03045720298656742
1968-06,0.007472708559835482
1968-07,-0.0235214152337245
1968-08,-0.001963824034007383
1968-09,0.0401381331494909
1968-10,0.001371990264489767
1968-11,0.078792760555654
1968-12,-0.03928432302237333
1969-01,-0.019710157079421888
1969-02,-0.043110221116110264
1969-03,0.05742801859572526
1969-04,0.037110552579170036
1969-05,-0.0012027014794768857
1969-06,-0.03318304567060584
1969-07,-0.07216858860415644
1969-08,0.06355179624473825
1969-09,-0.02967712916830314
1969-10,0.041841338720758334
1969-11,-0.033268197430356604
1969-12,0.0005881432835936722
1970-01,-0.09115471190169791
1970-02,0.05073115246412256
1970-03,-0.022882713473706785
1970-04,-0.11229068960160474
1970-05,-0.05763187021209596
1970-06,-0.0630083572532533
1970-07,0.05868659001478414
1970-08,0.05702870492670698
1970-09,0.08143673409420416
1970-10,0.006073053094645134
1970-11,0.053120250719656474
1970-12,0.0369794203364273
1971-01,0.04272018959951328
1971-02,0.029238866978346587
1971-03,0.055881849718054315
1971-04,0.03873230728781141
1971-05,-0.051614871928752686
1971-06,0.003775033888684427
1971-07,-0.05469163742914817
1971-08,0.023803198139851107
1971-09,-0.017973360326484365
1971-10,-0.034089080166886
1971-11,0.010749848620730047
1971-12,0.10468345141684184
1972-01,0.042900574350283396
1972-02,0.0327747559826972
1972-03,-0.0009006852329831658
1972-04,-0.003988799532506654
1972-05,0.024964925526316857
1972-06,-0.0175352244134975
1972-07,-0.0007056513499360435
1972-08,0.060577272568010536
1972-09,-0.001875674415253938
1972-10,0.005032361985092081
1972-11,0.024452775182139216
1972-12,0.01554855064430969
1973-01,0.01655620074306429
1973-02,-0.04124742444670911
1973-03,0.006493616488517534
1973-04,-0.04741680451343807
1973-05,-0.018360140491337953
1973-06,0.014253408707558896
1973-07,0.02749034124792043
1973-08,-0.03263307377611176
1973-09,0.027865132197958047
1973-10,0.041549276164093256
1973-11,-0.07166030196135192
1973-12,-0.017395442659060352
1974-01,-0.028831406278979687
1974-02,-0.015214629299048614
1974-03,-0.023618639449794684
1974-04,-0.04929652499063371
1974-05,-0.04442245581850636
1974-06,-0.008642597752399743
1974-07,-0.08752160929300294
1974-08,-0.06869699941212908
1974-09,-0.14625070407900975
1974-10,0.18336780077298012
1974-11,-0.0392445082159126
1974-12,-0.040593321712394985
1975-01,0.09458344611988823
1975-02,0.11524336647521424
1975-03,-0.0025795134624720436
1975-04,0.051518448574605726
1975-05,0.08826533465413042
1975-06,0.038849920977416935
1975-07,-0.08862761724446261
1975-08,-0.023317809502085493
1975-09,-0.020124916997494306
1975-10,0.056774789152859495
1975-11,0.03301812971721078
1975-12,-0.016428482620032055
1976-01,0.1282662383873088
1976-02,-0.013446597776822533
1976-03,0.04570613211080865
1976-04,-0.02836739393120475
1976-05,0.021228538180542114
1976-06,0.053134904039321494
1976-07,-0.01741925693067707
1976-08,0.0043568278841377974
1976-09,0.03664623492249234
1976-10,-0.03165518775767995
1976-11,-0.010866089544902957
1976-12,0.043110005010901314
1977-01,-0.04668865268438409
1977-02,-0.010776721074314224
1977-03,-0.01879949984226694
1977-04,-0.01927195216243737
1977-05,-0.006987743204131994
1977-06,0.07114556840844007
1977-07,-0.023349474911414654
1977-08,-0.008404496099575191
1977-09,-0.00570056312132078
1977-10,-0.041796416062359114
1977-11,0.05652039221391673
1977-12,0.032571294753919455
1978-01,-0.044253679053986465
1978-02,-0.024280664643932172
1978-03,0.009428161437163405
1978-04,0.10468131510610305
1978-05,0.012020032098928933
1978-06,-0.012013403619228731
1978-07,0.07004891836252924
1978-08,0.04540243695766306
1978-09,-0.012714912054033143
1978-10,-0.1112701832861759
1978-11,0.055298072907286916
1978-12,0.05262560193669697
1979-01,0.037868119634592766
1979-02,-0.027019602868350465
1979-03,0.07341655657046933
1979-04,0.015601481853043234
1979-05,-0.027343633555425212
1979-06,0.050186576839853364
1979-07,-0.0003580046011315489
1979-08,0.07685584498332039
1979-09,0.0038562059411331564
1979-10,-0.060563660502914216
1979-11,0.08223531475251497
1979-12,0.03232029785764767
1980-01,0.07869569286908969
1980-02,0.016271148672270454
1980-03,-0.11551268735271175
1980-04,0.03470345991910685
1980-05,0.03927842341996553
1980-06,0.036992225612099396
1980-07,0.10522151799812789
1980-08,0.0355852016854125
1980-09,0.03566433318007208
1980-10,0.03383647647377774
1980-11,0.14413015547283808
1980-12,-0.030933000497427435
1981-01,-0.08526240208264502
1981-02,-0.0022594272640108198
1981-03,0.03333685241641863
1981-04,-0.017027511735572334
1981-05,0.012522314984213086
1981-06,-0.019253793934235427
1981-07,0.010851485654084354
1981-08,-0.07191657632645371
1981-09,-0.05975908853842158
1981-10,0.06260700697435127
1981-11,0.037164988011976735
1981-12,-0.026971017757708035
1982-01,-0.023672322904050244
1982-02,-0.05460086676050207
1982-03,-0.02994246126202691
1982-04,0.04940102913461869
1982-05,-0.01742832753424233
1982-06,-0.04288623084926531
1982-07,-0.014472335321544866
1982-08,0.12394817833108579
1982-09,0.01914799678436781
1982-10,0.11167396997022587
1982-11,0.047783652086452175
1982-12,0.02612316953375463
1983-01,0.054444367778584794
1983-02,0.035107369271360635
1983-03,0.028475812013500183
1983-04,0.07726842371554837
1983-05,0.009791677892020017
1983-06,0.061017826083810144
1983-07,-0.033674999326854235
1983-08,0.015612497524585073
1983-09,0.0003108285969140093
1983-10,-0.04800913100080699
1983-11,0.014203244786877253
1983-12,-0.005170507034554618
1984-01,0.004969519695987511
1984-02,-0.020958132807639262
1984-03,0.011518503649380101
1984-04,0.01265366029528514
1984-05,-0.04998390966912275
1984-06,0.009045337634514108
1984-07,-0.04584912298576958
1984-08,0.136520206650536
1984-09,-0.008783070665981236
1984-10,-0.009653170651098327
1984-11,-0.0260114424316556
1984-12,-0.0014994583113460067
1985-01,0.09942671006018163
1985-02,0.018807551602454342
1985-03,-0.01925735308719857
1985-04,-0.005602082627772468
1985-05,0.039790632218781555
1985-06,-0.003134501792199841
1985-07,0.012817376892519508
1985-08,-0.010280173089119065
1985-09,-0.028276328905235463
1985-10,0.041291890317826145
1985-11,0.05772579605134154
1985-12,0.03772942702752431
1986-01,-0.02299375664057592
1986-02,0.04244015035823647
1986-03,0.020787630087873935
1986-04,0.024991455528703667
1986-05,0.02700585600523316
1986-06,-0.014908750272958297
1986-07,-0.0689951526317114
1986-08,0.08773495293207165
1986-09,-0.0652619226866295
1986-10,0.021169642442317536
1986-11,0.03740536827875823
1986-12,-0.019324094698545593
1987-01,0.15978488401257607
1987-02,0.05431483479718742
1987-03,0.04804219749971803
1987-04,0.014086659414155975
1987-05,0.011045319446539886
1987-06,0.027467968256269307
1987-07,0.01785105640142014
1987-08,0.038749369247866323
1987-09,-0.03648222880521166
1987-10,-0.21818223515194127
1987-11,-0.0981692229694338
1987-12,0.07943606307927044
1988-01,0.018678590684101683
1988-02,0.06077725609891827
1988-03,-0.008429790033241184
1988-04,0.029573353361495476
1988-05,-0.015795255153312822
1988-06,0.04043569191644375
1988-07,-0.014277375068029563
1988-08,-0.04039536768852385
1988-09,0.01304663086569292
1988-10,0.009846835097821855
1988-11,-0.0182207494833162
1988-12,0.023303203468167277
1989-01,0.07580551462537076
1989-02,-0.02234987360980182
1989-03,-0.005017561267902028
1989-04,0.04657457405945538
1989-05,0.018970755123221203
1989-06,-0.02770246128428058
1989-07,0.052878453997801805
1989-08,0.01623535394242429
1989-09,-0.01875683239893596
1989-10,-0.029304503066646823
1989-11,0.006931168957014185
1989-12,0.0003555311922270009
1990-01,-0.03091800371041002
1990-02,0.028793804711542442
1990-03,0.03769642670889636
1990-04,-0.017833641115006342
1990-05,0.10833105762367846
1990-06,-0.008187951190588277
1990-07,0.0022529262828047177
1990-08,-0.06886702877329483
1990-09,-0.042854889008676955
1990-10,-0.02201236729787855
1990-11,0.09600418977101921
1990-12,0.017469171291793723
1991-01,0.07782504884592131
1991-02,0.07095711727977444
1991-03,0.013111580445550785
1991-04,-0.008645770752302185
1991-05,0.015794119352900583
1991-06,-0.06402016321236426
1991-07,0.05420520164670116
1991-08,0.020680346491384644
1991-09,0.002727882367742974
1991-10,0.027901846139174027
1991-11,-0.05869815160515577
1991-12,0.08333924545857807
1992-01,-0.0031197079300601584
1992-02,0.0146199722848523
1992-03,-0.048124867074370976
1992-04,0.006726462524379282
1992-05,0.0066998117730352235
1992-06,-0.049002381469779435
1992-07,0.048118930903902124
1992-08,-0.019626232647258143
1992-09,0.00920534750933556
1992-10,0.011468380129587367
1992-11,0.039551197832070395
1992-12,0.008579768840685773
1993-01,0.020069162950309104
1993-02,-0.011925331102243022
1993-03,0.033546679102672804
1993-04,-0.015389541429848273
1993-05,0.06858889206140945
1993-06,-0.004783919854226625
1993-07,-0.02761350702161458
1993-08,0.05789547555645097
1993-09,0.006203458285338588
1993-10,0.013213295929735459
1993-11,-0.005594382515173626
1993-12,0.02312650429987584
1994-01,0.02841404465595109
1994-02,-0.020529727087690644
1994-03,-0.04879478996725878
1994-04,0.017278754814365152
1994-05,0.027229363335598923
1994-06,-0.04111533858593378
1994-07,0.0326412095898212
1994-08,0.05719559264390454
1994-09,-0.00643166695572764
1994-10,0.06295772923591439
1994-11,-0.0193112136970988
1994-12,-0.004508167939750344
1995-01,0.00887095688018424
1995-02,0.054058587357433144
1995-03,0.049202029607142
1995-04,0.04988814070303226
1995-05,0.026331526811581997
1995-06,0.036916230602914504
1995-07,0.06332636748468418
1995-08,-0.00039824473781170785
1995-09,0.031831327235005924
1995-10,0.009712572056404026
1995-11,0.004164181659572119
1995-12,0.011263178328538074
1996-01,0.02724746568323727
1996-02,0.03627356390177482
1996-03,0.0015919520045656632
1996-04,0.06055286800047972
1996-05,0.02511001454143172
1996-06,-0.02201629281015111
1996-07,-0.0820588442696343
1996-08,0.05391657822903752
1996-09,0.07904723674902342
1996-10,0.012220491609990596
1996-11,0.07758122139006192
1996-12,-0.01468935460517121
1997-01,0.07363886560520902
1997-02,-0.048880038995171654
1997-03,-0.027613606551172815
1997-04,0.033482931312679376
1997-05,0.08551382837665236
1997-06,0.03434013336382422
1997-07,0.11177086380664429
1997-08,-0.016829416682016637
1997-09,0.036825456485333974
1997-10,-0.04928539062546804
1997-11,0.004633922128682098
1997-12,-0.025661030108208485
1998-01,0.02255689418496371
1998-02,0.08447673393707342
1998-03,0.03199993358574575
1998-04,0.04813085398941827
1998-05,-0.055904578952765696
1998-06,0.05050921108987592
1998-07,-0.019365331763676538
1998-08,-0.14858833391779502
1998-09,0.15200578885546315
1998-10,0.03557581880048468
1998-11,0.0737777349063354
1998-12,0.09158846382979581
1999-01,0.06776065006440492
1999-02,-0.060750285587977
1999-03,0.0909114951995473
1999-04,0.04461462884634212
1999-05,-0.01297471276739237
1999-06,0.06966156004920598
1999-07,-0.015386379200117234
1999-08,0.021942746051605105
1999-09,-0.02412858400475472
1999-10,0.017807440987342993
1999-11,0.07659850721947213
1999-12,0.08778904230015408
2000-01,-1.1925961170779556e-05
2000-02,0.056537369125967116
2000-03,0.05060004907913253
2000-04,-0.060532554161462256
2000-05,-0.014598046942022954
2000-06,0.07130090570636705
2000-07,-0.04819202933840575
2000-08,0.10460853676837692
2000-09,-0.055812891615916516
2000-10,-0.04904063889100604
2000-11,-0.11637858512349993
2000-12,-0.016593977956699923
2001-01,0.048281563139672606
2001-02,-0.13774288713027377
2001-03,-0.08599709200104617
2001-04,0.1352965809305136
2001-05,-0.0015162360886461137
2001-06,-0.021632376270577507
2001-07,-0.03368067482522533
2001-08,-0.07685551591625753
2001-09,-0.11411546211214406
2001-10,0.09356992591284853
2001-11,0.08227996760768497
2001-12,0.008482226947031865
2002-01,-0.031001252478135732
2002-02,-0.05117327711449658
2002-03,0.05299719033545791
2002-04,-0.09348328802446715
2002-05,-0.02998787761045507
2002-06,-0.073844657511704
2002-07,-0.0835263071683838
2002-08,-0.009984866574905
2002-09,-0.10652163392643624
2002-10,0.11921862480843834
2002-11,0.10016670545493245
2002-12,-0.06814849063551078
2003-01,-0.004363909777741237
2003-02,0.0020096027758381907
2003-03,0.014116071139466498
2003-04,0.06482982377240958
2003-05,0.07851789907618204
2003-06,0.007192750996279539
2003-07,0.01989380641921866
2003-08,0.035073658848826586
2003-09,-0.00573798337799092
2003-10,0.04246337177750276
2003-11,0.014982431857497768
2003-12,0.051165136633088235
2004-01,0.025251192724728574
2004-02,0.009111436550103042
2004-03,-0.017915490471382998
2004-04,-0.007086989188924055
2004-05,0.036684305611025876
2004-06,0.027921478760484713
2004-07,-0.041807714455972915
2004-08,-0.030167628433566664
2004-09,0.042250275108317685
2004-10,0.01892103230797141
2004-11,0.049716484433932936
2004-12,0.02018585430181386
2005-01,-0.03015978569244673
2005-02,0.06851171561941266
2005-03,-0.026369694904946173
2005-04,-0.026418683109107548
2005-05,0.047282508816095976
2005-06,0.008200331621585594
2005-07,0.05093526954983018
2005-08,0.014339989442540661
2005-09,0.015264538047292404
2005-10,-0.03921561175118577
2005-11,0.036696287322764934
2005-12,-0.004800443781883139
2006-01,0.08012153427447857
2006-02,-0.021215513037418005
2006-03,0.023658204429074917
