,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193406,0.0385,-0.0275,0.0425,0.012,0.0279,0.0132,0.0243,0.0204,0.0426,0.0312
193407,-0.0512,-0.1383,-0.1156,-0.0973,-0.1189,-0.0434,-0.0835,-0.0189,-0.1724,-0.1737
193408,0.0422,0.1087,0.0752,0.0612,0.0659,0.0256,0.0472,-0.0305,0.0204,0.0441
193409,0.0024,0.0068,-0.0113,-0.0232,-0.0032,0.019,0.0255,0.008,0.0161,-0.0037
193410,0.0061,-0.0208,-0.0046,-0.0469,-0.0093,-0.0156,0.0168,-0.0071,-0.0761,-0.0222
193411,0.085,0.1761,0.1263,0.0703,0.1352,-0.0173,0.0961,0.0407,-0.0025,0.0564
193412,-0.0094,0.0356,0.0221,0.0068,0.0366,-0.0059,-0.0104,0.0062,-0.0866,-0.0019
193501,-0.014,-0.0903,-0.0239,-0.0437,0.0113,-0.0046,-0.0527,-0.0086,-0.0316,-0.0672
193502,0.0161,-0.0327,-0.018,-0.0335,0.0019,0.0104,-0.0062,0.0425,-0.1216,-0.047
193503,-0.0463,-0.0582,-0.0479,-0.0382,-0.0414,-0.0072,-0.0433,-0.0314,0.1234,-0.0534
193504,0.0573,0.0573,0.0896,0.1548,0.1024,0.0913,0.0647,0.0318,0.1114,0.0875
193505,0.0109,0.0296,0.0186,0.0351,0.0265,0.0838,0.0253,-0.0402,0.1376,0.0388
193506,0.0551,0.0978,0.0651,0.0151,0.0834,0.0535,0.0628,0.0409,0.0911,0.0633
193507,0.0314,0.1908,0.1078,0.0013,0.096,0.0574,0.0751,0.0319,0.0922,0.0726
193508,-0.0156,0.0901,0.0325,-0.0189,0.0321,0.0407,0.0309,0.0029,0.0721,0.0341
193509,0.0169,0.1109,0.0422,-0.0333,0.0775,0.0428,-0.0057,0.0111,-0.0203,0.0062
193510,0.0448,0.1363,0.0585,0.1352,0.088,0.0311,0.0122,0.0597,0.1413,0.0242
193511,0.011,0.0349,0.0458,0.0278,0.0582,0.0972,0.0292,0.0174,0.0082,0.1323
193512,0.0208,0.058,0.0369,0.1409,0.0351,-0.0016,-0.0102,0.0235,0.0562,0.0429
193601,0.0324,0.0389,0.0561,0.1406,0.0649,0.0417,-0.0281,0.0346,0.1253,0.1217
193602,0.0061,0.0374,0.0556,0.0126,0.0034,0.0657,0.0099,0.0345,-0.0659,0.0281
193603,-0.0208,0.1019,0.0243,0.0175,-0.0005,-0.0337,0.0114,0.0352,0.0064,-0.0294
193604,-0.0445,-0.1015,-0.0894,-0.1028,-0.0863,-0.0566,-0.0524,-0.0919,-0.0834,-0.0741
193605,0.0496,0.0406,0.062,-0.0057,0.0522,0.0646,0.067,0.048,0.0952,0.074
193606,0.0232,0.0686,0.0129,0.0173,0.013,0.0243,0.0529,0.0129,0.0362,0.0175
193607,0.0297,0.0491,0.0769,0.0474,0.1205,0.0244,0.0621,0.0465,0.1159,0.0964
193608,0.0084,-0.0028,0.0165,-0.0067,0.0241,0.0176,0.0249,-0.0148,-0.0103,0.0185
193609,-0.0066,0.0326,0.0207,0.0139,-0.0125,0.0033,0.0294,0.0077,-0.0205,0.009
193610,0.0337,0.0508,0.0773,0.1248,0.0575,0.0509,0.1122,0.0378,0.0572,0.081
193611,0.0453,-0.0137,0.0544,0.0148,0.055,0.0387,0.11,0.034,-0.0286,0.0048
